AGNO;P_JURIDICA;MRUN;RUT_SOST;NOMBRE_SOST;ID_MUNICIPAL;ID_SLE;NOM_SLE;COD_REG_SOST;COD_PRO_SOST;COD_COM_SOST;NOM_COM_SOST;NUM_RBD_CORP_MUN;NUM_RBD_MUN_DAEM;NUM_RBD_PART_SUBV;NUM_RBD_PART_PAG;NUM_RBD_ADM_DEL;NUM_RBD_SERV_LOC;NUM_RBD;NUM_RBD_EN_FUNCION_SIN_MAT;NUM_RBD_EN_RECESO;NUM_RBD_CERRADO;NUM_RBD_AUT_SIN_MATRICULA;NUM_RBD_TOT;MAT_CORP_MUN;MAT_MUN_DAEM;MAT_PART_SUBV;MAT_PART_PAG;MAT_ADM_DEL;MAT_SERV_LOC;MAT_TOTAL;NUM_C_DOC;NUM_C_ASIS;RBD_001;RBD_002;RBD_003;RBD_004;RBD_005;RBD_006;RBD_007;RBD_008;RBD_009;RBD_010;RBD_011;RBD_012;RBD_013;RBD_014;RBD_015;RBD_016;RBD_017;RBD_018;RBD_019;RBD_020;RBD_021;RBD_022;RBD_023;RBD_024;RBD_025;RBD_026;RBD_027;RBD_028;RBD_029;RBD_030;RBD_031;RBD_032;RBD_033;RBD_034;RBD_035;RBD_036;RBD_037;RBD_038;RBD_039;RBD_040;RBD_041;RBD_042;RBD_043;RBD_044;RBD_045;RBD_046;RBD_047;RBD_048;RBD_049;RBD_050;RBD_051;RBD_052;RBD_053;RBD_054;RBD_055;RBD_056;RBD_057;RBD_058;RBD_059;RBD_060;RBD_061;RBD_062;RBD_063;RBD_064;RBD_065;RBD_066;RBD_067;RBD_068;RBD_069;RBD_070;RBD_071;RBD_072;RBD_073;RBD_074;RBD_075;RBD_076;RBD_077;RBD_078;RBD_079;RBD_080;RBD_081;RBD_082;RBD_083;RBD_084;RBD_085;RBD_086;RBD_087;RBD_088;RBD_089;RBD_090;RBD_091;RBD_092;RBD_093;RBD_094;RBD_095;RBD_096;RBD_097;RBD_098;RBD_099;RBD_100;RBD_101;RBD_102;RBD_103;RBD_104;RBD_105;RBD_106;RBD_107;RBD_108;RBD_109;RBD_110;RBD_111;RBD_112;RBD_113;RBD_114;RBD_115;RBD_116;RBD_117;RBD_118;RBD_119;RBD_120;RBD_121;RBD_122;RBD_123;RBD_124;RBD_125;RBD_126;RBD_127;RBD_128;RBD_129;RBD_130;RBD_131;RBD_132;RBD_133;RBD_134;RBD_135;RBD_136
2022;1; ;62000660;SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE CHINCHORRO;0;1;CHINCHORRO; ; ; ; ;0;0;0;0;0;63;63;1;0;1;0;65;0;0;0;0;0;18493;18493;1666;1444;1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;25;26;27;28;29;30;31;32;33;35;36;38;39;41;42;70;72;73;74;75;76;78;79;81;82;83;84;86;87;88;89;90;91;92;93;94;95;10887;10897;10911;10912;10913;12501;12610; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2022;1; ;65155997;CORPORACIÓN EDUCACIONAL JARDÍN INFANTIL CEPILLÍN;0;0; ; ; ; ; ;0;0;1;0;0;0;1;0;0;0;0;1;0;0;24;0;0;0;24;3;3;43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2022;0;17278119; ; ;0;0; ; ; ; ; ;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;44; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2022;1; ;70072800;CONGREGACION HIJAS DE SANTA ANA;0;0; ; ; ; ; ;0;0;2;0;0;0;2;0;1;0;0;3;0;0;2044;0;0;0;2044;113;94;45;8629;8670; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2022;1; ;76216092;SOC EDUC MADARIAGA & VALDIVIA LIMITADA;0;0; ; ; ; ; ;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;46; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2022;1; ;65095034;CORPORACIÓN EDUCACIONAL JARDÍN INFANTIL PADRE LUIS GALLARDO A.;0;0; ; ; ; ; ;0;0;1;0;0;0;1;0;0;0;0;1;0;0;26;0;0;0;26;3;3;49; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2022;1; ;65102261;FUNDACION EDUCACIONAL ARNALDO SALAMANCA CID;0;0; ; ; ; ; ;0;0;6;0;0;0;6;0;0;0;0;6;0;0;4198;0;0;0;4198;230;200;50;133;253;341;433;12569; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2022;1; ;76189122;EMPRESA EDUCACIONAL DOUGLAS BIGNO AYALA EIRL;0;0; ; ; ; ; ;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;51; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2022;1; ;65145467;CORPORACIÓN EDUCACIONAL DOMINGO SANTA MARÍA;0;0; ; ; ; ; ;0;0;1;0;0;0;1;0;0;0;0;1;0;0;4034;0;0;0;4034;165;96;52; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2022;1; ;65144309;CORPORACIÓN EDUCACIONAL JARDÍN INFANTIL MARÍA MONTESSORI ARICA;0;0; ; ; ; ; ;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;55; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
