RBD;COD_DEPE;AGNO_EGRESO;MRUN;NEM;PERCENTIL;PUESTO_10;PUESTO_30
13525;3;2014;2484467;6.95;10;NO;SI
20012;3;2014;5707812;6.95;10;NO;SI
26286;3;2014;7155981;6.95;10;NO;SI
24832;4;2014;12775027;6.95;10;NO;SI
22633;3;2014;15133678;6.95;10;NO;SI
12758;1;2014;21608430;6.95;10;NO;SI
40447;3;2014;23030874;6.95;10;NO;SI
16414;3;2014;24430010;6.95;10;NO;SI
24238;3;2014;990596;6.9;10;NO;SI
14874;3;2014;1300569;6.9;10;NO;SI
31220;3;2014;1605037;6.9;10;NO;SI
5620;2;2014;3087508;6.9;10;NO;SI
15854;3;2014;3259151;6.9;10;NO;SI
532;1;2014;4297962;6.9;10;NO;SI
31220;3;2014;5846464;6.9;10;NO;SI
20066;3;2014;6827227;6.9;10;NO;SI
40076;3;2014;7665931;6.9;10;NO;SI
14874;3;2014;8701832;6.9;10;NO;SI
3376;2;2014;10896567;6.9;10;NO;SI
12146;1;2014;11122196;6.9;10;NO;SI
12294;4;2014;11761067;6.9;10;NO;SI
22545;3;2014;11940186;6.9;10;NO;SI
6787;2;2014;12742304;6.9;10;NO;SI
2422;2;2014;13457193;6.9;10;NO;SI
20063;3;2014;13828045;6.9;10;NO;SI
8541;2;2014;14186281;6.9;10;NO;SI
15777;3;2014;14932920;6.9;10;NO;SI
3364;2;2014;15036415;6.9;10;NO;SI
22551;3;2014;15769771;6.9;10;NO;SI
22503;3;2014;15951060;6.9;10;NO;SI
17881;2;2014;17115182;6.9;10;NO;SI
20001;3;2014;17255368;6.9;10;NO;SI
31428;3;2014;17982061;6.9;10;NO;SI
40400;3;2014;19363155;6.9;10;NO;SI
31279;3;2014;20064991;6.9;10;NO;SI
31011;3;2014;21323757;6.9;10;NO;SI
8541;2;2014;23277243;6.9;10;NO;SI
31279;3;2014;23834851;6.9;10;NO;SI
40206;3;2014;24512312;6.87;10;NO;SI
24241;3;2014;513020;6.85;10;NO;SI
13592;3;2014;880231;6.85;10;NO;SI
14232;3;2014;1493085;6.85;10;NO;SI
17654;2;2014;1495313;6.85;10;NO;SI
4661;3;2014;2081256;6.85;10;NO;SI
3353;2;2014;3442688;6.85;10;NO;SI
31252;3;2014;3527855;6.85;10;NO;SI
20063;3;2014;4143031;6.85;10;NO;SI
17881;2;2014;4917477;6.85;10;NO;SI
4897;2;2014;5246135;6.85;10;NO;SI
22545;3;2014;5551837;6.85;10;NO;SI
286;1;2014;5660357;6.85;10;NO;SI
2549;2;2014;7144557;6.85;10;NO;SI
9373;3;2014;8622854;6.85;10;NO;SI
3376;2;2014;9134067;6.85;20;NO;SI
10696;1;2014;9771011;6.85;10;NO;SI
24238;3;2014;10206064;6.85;10;NO;SI
14761;3;2014;11990892;6.85;10;NO;SI
40414;3;2014;12535341;6.85;10;NO;SI
2124;1;2014;12904367;6.85;10;NO;SI
15574;2;2014;13446521;6.85;10;NO;SI
19993;2;2014;13759960;6.85;10;NO;SI
611;2;2014;14224230;6.85;10;NO;SI
8553;2;2014;14594609;6.85;10;NO;SI
10584;1;2014;14818646;6.85;10;NO;SI
1666;1;2014;16918218;6.85;10;NO;SI
14761;3;2014;17685403;6.85;10;NO;SI
532;1;2014;18755343;6.85;10;NO;SI
