,ID,Total de Artículos,Afiliación
0,6810980,45,Pontificia Universidad Católica De Valparaíso
1,6810979,40,Pontificia Universidad Católica De Valparaíso
2,646013,31,Pontificia Universidad Católica De Valparaíso
3,7027516,29,Pontificia Universidad Católica De Valparaíso
4,135023,27,Universidad De Valparaíso
5,5147517,26,Pontificia Universidad Católica De Valparaíso
6,5138833,24,Pontificia Universidad Católica De Valparaíso
7,169569,23,Pontificia Universidad Católica De Valparaíso
8,884869,23,Pontificia Universidad Católica De Valparaíso
9,5951861,22,Pontificia Universidad Católica De Valparaíso
10,2635622,20,Pontificia Universidad Católica De Valparaíso
11,1426874,19,Universidad De Valparaíso
12,5782861,18,Pontificia Universidad Católica De Valparaíso
13,454657,17,Pontificia Universidad Católica De Valparaíso
14,1476788,17,Pontificia Universidad Católica De Valparaíso
15,865504,16,Pontificia Universidad Católica De Valparaíso
16,1963454,16,Pontificia Universidad Católica De Valparaíso
17,6823657,16,Pontificia Universidad Católica De Valparaíso
18,135022,15,Universidad De Valparaíso
19,561252,15,Universidad De Valparaíso
20,1921758,15,Universidad De Valparaíso
21,162954,13,Universidad Adolfo Ibáñez
22,731892,13,Universidad De Valparaíso
23,122598,12,Universidad De Playa Ancha
24,1231041,12,Universidad De Valparaíso
25,1478534,12,Pontificia Universidad Católica De Valparaíso
26,2348295,12,Pontificia Universidad Católica De Valparaíso
27,321618,11,Pontificia Universidad Católica De Valparaíso
28,1347211,11,Pontificia Universidad Católica De Valparaíso
29,6745910,11,Universidad Técnica Federico Santa María
30,720209,10,Pontificia Universidad Católica De Valparaíso
31,1160414,10,Pontificia Universidad Católica De Valparaíso
32,2339019,10,Pontificia Universidad Católica De Valparaíso
33,94634,9,"Universidad De Los Andes, Chile"
34,243524,9,Pontificia Universidad Católica De Valparaíso
35,1348419,9,Pontificia Universidad Católica De Valparaíso
36,1423408,9,Pontificia Universidad Católica De Valparaíso
37,3977404,9,Universidad De Concepción
38,6533397,9,Pontificia Universidad Católica De Valparaíso
39,1177003,8,Universidad De Valparaíso
40,2415769,8,Universidad Técnica Federico Santa María
41,245525,7,Pontificia Universidad Católica De Valparaíso
42,527271,7,Universidad De Valparaíso
43,1156648,7,Pontificia Universidad Católica De Valparaíso
44,2626552,7,Pontificia Universidad Católica De Valparaíso
45,3323131,7,Pontificia Universidad Católica De Valparaíso
46,4763436,7,Pontificia Universidad Católica De Valparaíso
47,4980386,7,Pontificia Universidad Católica De Valparaíso
48,727534,6,Pontificia Universidad Católica De Valparaíso
49,3541709,6,Universidad Adolfo Ibáñez
50,5069468,6,Universidad De Valparaíso
51,46586,5,Universidad Adolfo Ibáñez
52,192652,5,Pontificia Universidad Católica De Valparaíso
53,1138737,5,Pontificia Universidad Católica De Valparaíso
54,1650104,5,Universidad Técnica Federico Santa María
55,2527599,5,Pontificia Universidad Católica De Valparaíso
56,4060297,5,Universidad De Playa Ancha
57,6065925,5,Pontificia Universidad Católica De Valparaíso
58,6822279,5,Universidad Técnica Federico Santa María
59,112464,4,Pontificia Universidad Católica De Valparaíso
60,112564,4,Pontificia Universidad Católica De Valparaíso
61,813793,4,Universidad De Valparaíso
62,1055359,4,Pontificia Universidad Católica De Valparaíso
63,1327330,4,Universidad Nacional Andrés Bello
64,1332785,4,Universidad De Playa Ancha
65,2316640,4,Pontificia Universidad Católica De Valparaíso
66,2849287,4,Universidad De Valparaíso
67,3530634,4,Pontificia Universidad Católica De Valparaíso
68,3636359,4,Universidad De Valparaíso
69,4690027,4,Universidad De Valparaíso
70,5494333,4,Pontificia Universidad Católica De Valparaíso
71,5668550,4,Pontificia Universidad Católica De Valparaíso
72,6535184,4,Universidad De Valparaíso
73,65746,3,Universidad De Playa Ancha
74,110634,3,Universidad De Atacama
75,176596,3,Pontificia Universidad Católica De Valparaíso
76,193063,3,Universidad De Chile
77,214147,3,Pontificia Universidad Católica De Valparaíso
78,447465,3,Pontificia Universidad Católica De Valparaíso
79,572470,3,Universidad De Valparaíso
80,819343,3,Universidad Adolfo Ibáñez
81,961739,3,Universidad Católica Del Maule
82,1168634,3,Universidad De Valparaíso
83,1207134,3,Pontificia Universidad Católica De Chile
84,1332741,3,Pontificia Universidad Católica De Valparaíso
85,1813175,3,Pontificia Universidad Católica De Valparaíso
86,1970687,3,Pontificia Universidad Católica De Chile
87,2106341,3,Pontificia Universidad Católica De Valparaíso
88,2725300,3,Pontificia Universidad Católica De Valparaíso
89,3023855,3,Pontificia Universidad Católica De Valparaíso
90,3514756,3,Pontificia Universidad Católica De Valparaíso
91,3516946,3,Universidad De Valparaíso
92,3680014,3,Pontificia Universidad Católica De Valparaíso
93,3835181,3,Universidad De Playa Ancha
94,3963349,3,Universidad De Valparaíso
95,4724323,3,Pontificia Universidad Católica De Valparaíso
96,4836654,3,Pontificia Universidad Católica De Valparaíso
97,5026444,3,Universidad De Concepción
98,5163220,3,Pontificia Universidad Católica De Valparaíso
99,5788014,3,Universidad De Valparaíso
100,6435885,3,Pontificia Universidad Católica De Valparaíso
101,6549737,3,Pontificia Universidad Católica De Valparaíso
102,6657879,3,Pontificia Universidad Católica De Valparaíso
103,6720151,3,Pontificia Universidad Católica De Valparaíso
104,46872,2,Pontificia Universidad Católica De Valparaíso
105,113864,2,Pontificia Universidad Católica De Valparaíso
106,163591,2,Pontificia Universidad Católica De Valparaíso
107,166186,2,Universidad De Playa Ancha
108,214146,2,Pontificia Universidad Católica De Valparaíso
109,354284,2,Universidad Técnica Federico Santa María
110,421846,2,Pontificia Universidad Católica De Valparaíso
111,501935,2,Universidad De Playa Ancha
112,507381,2,Universidad Técnica Federico Santa María
113,569072,2,Pontificia Universidad Católica De Valparaíso
114,672646,2,Universidad Adolfo Ibáñez
115,700649,2,Pontificia Universidad Católica De Valparaíso
116,719835,2,Universidad De Valparaíso
117,827792,2,Universidad De Valparaíso
118,884910,2,Universidad Austral De Chile
119,894349,2,Pontificia Universidad Católica De Valparaíso
120,911958,2,Pontificia Universidad Católica De Valparaíso
121,953163,2,Pontificia Universidad Católica De Valparaíso
122,1226945,2,Universidad Técnica Federico Santa María
123,1248165,2,Pontificia Universidad Católica De Valparaíso
124,1327809,2,Pontificia Universidad Católica De Valparaíso
125,1365153,2,Pontificia Universidad Católica De Valparaíso
126,1560792,2,Pontificia Universidad Católica De Valparaíso
127,1822727,2,Pontificia Universidad Católica De Valparaíso
128,2001099,2,Pontificia Universidad Católica De Valparaíso
129,2108220,2,Universidad De Valparaíso
130,2358015,2,Universidad De Valparaíso
131,3170824,2,Pontificia Universidad Católica De Valparaíso
132,3269695,2,Pontificia Universidad Católica De Valparaíso
133,3323278,2,Pontificia Universidad Católica De Valparaíso
134,3336312,2,Pontificia Universidad Católica De Valparaíso
135,3465378,2,Pontificia Universidad Católica De Valparaíso
136,3536487,2,Pontificia Universidad Católica De Valparaíso
137,3834659,2,Universidad De Playa Ancha
138,3853237,2,Pontificia Universidad Católica De Valparaíso
139,3853238,2,Pontificia Universidad Católica De Valparaíso
140,3982265,2,Universidad De Playa Ancha
141,4685702,2,Universidad De Valparaíso
142,4696722,2,Pontificia Universidad Católica De Valparaíso
143,4716414,2,Universidad De Valparaíso
144,4745289,2,Universidad De Playa Ancha
145,4942852,2,Pontificia Universidad Católica De Valparaíso
146,4959889,2,Pontificia Universidad Católica De Valparaíso
147,5078072,2,Pontificia Universidad Católica De Valparaíso
148,5217775,2,Pontificia Universidad Católica De Valparaíso
149,5217777,2,Universidad De Valparaíso
150,5217779,2,Universidad De Valparaíso
151,5306909,2,Pontificia Universidad Católica De Valparaíso
152,5349682,2,Pontificia Universidad Católica De Valparaíso
153,5525402,2,Pontificia Universidad Católica De Valparaíso
154,5567230,2,Pontificia Universidad Católica De Valparaíso
155,5578828,2,Pontificia Universidad Católica De Valparaíso
156,5580390,2,Universidad De Valparaíso
157,5621295,2,Pontificia Universidad Católica De Valparaíso
158,5634447,2,Universidad De Valparaíso
159,5656692,2,Pontificia Universidad Católica De Valparaíso
160,5693616,2,Pontificia Universidad Católica De Valparaíso
161,5695579,2,Pontificia Universidad Católica De Valparaíso
162,5696373,2,Pontificia Universidad Católica De Valparaíso
163,5753713,2,Universidad De Valparaíso
164,5753715,2,Universidad De Valparaíso
165,5754918,2,Pontificia Universidad Católica De Valparaíso
166,5764307,2,Universidad De Valparaíso
167,5894476,2,Pontificia Universidad Católica De Valparaíso
168,5952403,2,Pontificia Universidad Católica De Valparaíso
169,5952405,2,Pontificia Universidad Católica De Valparaíso
170,5958860,2,Pontificia Universidad Católica De Valparaíso
171,6240954,2,Universidad De Talca
172,6599499,2,Pontificia Universidad Católica De Valparaíso
173,6806455,2,Pontificia Universidad Católica De Valparaíso
174,6810978,2,Pontificia Universidad Católica De Valparaíso
175,6843081,2,Universidad De Valparaíso
